studio_name,year,quarter,techhub_score
Scala Studio,2019.0,Q2,60.0
Scala Studio,2019.0,Q3,90.0
Scala Studio,2019.0,Q4,90.0
Scala Studio,2020.0,Q1,15.0
Scala Studio,2020.0,Q2,60.0
Scala Studio,2020.0,Q3,45.0
Scala Studio,2020.0,Q4,45.0
Scala Studio,2021.0,Q1,30.0
Scala Studio,2021.0,Q2,30.0
Scala Studio,2021.0,Q3,60.0
Scala Studio,2021.0,Q4,60.0
Scala Studio,2022.0,Q1,135.0
Scala Studio,2022.0,Q2,0.0
Test Automation Studio,2016.0,Q1,0.0
Test Automation Studio,2017.0,Q1,0.0
Test Automation Studio,2018.0,Q1,0.0
Test Automation Studio,2018.0,Q2,0.0
Test Automation Studio,2018.0,Q3,0.0
Test Automation Studio,2018.0,Q4,0.0
Test Automation Studio,2019.0,Q2,0.0
Test Automation Studio,2019.0,Q3,0.0
Test Automation Studio,2019.0,Q4,0.0
Test Automation Studio,2020.0,Q1,15.0
Test Automation Studio,2020.0,Q2,0.0
Test Automation Studio,2020.0,Q3,15.0
Test Automation Studio,2020.0,Q4,15.0
Test Automation Studio,2021.0,Q1,30.0
Test Automation Studio,2021.0,Q2,90.0
Test Automation Studio,2021.0,Q3,30.0
Test Automation Studio,2021.0,Q4,30.0
Test Automation Studio,2022.0,Q1,90.0
Test Automation Studio,2022.0,Q2,0.0
